entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_efectiva,fecha_de_publicacion_fase_2,fecha_de_apertura_de_respuesta,fecha_adjudicacion,fecha_de_publicacion
AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN,900477169,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.1056205,CD-ARN-108-2020,700803117,CO1.BDOS.1019004,PRESTACIÓN DE SERVICIOS - VIVIANA CARDONA RIVERA,"Prestar con plena autonomía técnica y administrativa los servicios profesionales para orientar la planeación, desarrollo y monitoreo de las gestiones que en materia administrativa y financiera requiera la Subdirección Territorial para la implementación de la Política Nacional de Reincorporación y Política Nacional de Reintegración en cumplimiento de la normatividad vigente y acorde con los procesos y procedimientos establecidos por la entidad.",Fase de ofertas,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,103332181,Contratación directa,Servicios profesionales y apoyo a la gestión,352,día(s),Bogotá,GRUPO GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022412'},700803117,Fase de ofertas,,,,,,
MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,899999028,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.1057916,PS-002-2020,700638059,CO1.BDOS.1020923,Prestar servicios profesionales para emitir pronunciamientos técnicos en la gestión de proyectos de inversión relacionados con el sector agropecuario y de desarrollo rural en el marco del Sistema Gene,Prestar servicios profesionales para emitir pronunciamientos técnicos en la gestión de proyectos de inversión relacionados con el sector agropecuario y de desarrollo rural en el marco del Sistema General de Regalías.,Fase de ofertas,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,69241936,Contratación directa,Servicios profesionales y apoyo a la gestión,12,Mes(es),Bogotá,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL (REGALIAS),0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022310'},700638059,Fase de ofertas,,,,,,
AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES - ANLA,900467239,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.1056615,CD 349 DE 2020,700928070,CO1.BDOS.1019814,Prestación de Servicios Profesionales,"5-23-A-4 Prestar servicios profesionales a la Subdirección Administrativa y Financiera en asuntos relacionados con la planeación, actualización y mejoramiento de políticas, lineamientos, procesos, y procedimientos, directrices de MIPG, fortalecimiento y organización institucional y análisis de riesgo.",Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,115463000,Contratación directa,Servicios profesionales y apoyo a la gestión,12,Mes(es),No Aplica,GRUPO DE CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101604,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022509'},700928070,Presentación de oferta,,,,,,
FUNDACION GILBERTO ALZATE AVENDAÑO,860044113,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.1058802,FUGA-CD-02-2020,702475609,CO1.BDOS.1021606,Prestar los servicios profesionales para apoyar a la Oficina Asesora Jurídica de la FUGA; en las actividades que se requieran en materia de derecho contractual; administrativo y demás temas de gestión,"Prestar los servicios profesionales para apoyar a la Oficina Asesora Jurídica de la Fundación Gilberto Alzate Avendaño, en las actividades que se requieran en materia de derecho contractual, administrativo y demás temas de gestión jurídica que sean requeridos.",Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,57229938,Contratación directa,Servicios profesionales y apoyo a la gestión,285,día(s),No Aplica,OFICINA JURÍDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1023107'},702475609,Presentación de oferta,,,,,,
FUNDACION GILBERTO ALZATE AVENDAÑO,860044113,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.1058339,FUGA-CD-03-2020,702475609,CO1.BDOS.1021344,Prestar los servicios jurídicos profesionales para apoyar los trámites contractuales; legales y jurídicos que sean requeridos en la Oficina Asesora Jurídica de la Fundación Gilberto Alzate Avendaño,"Prestar los servicios jurídicos profesionales para apoyar los trámites contractuales, legales y jurídicos que sean requeridos en la Oficina Asesora Jurídica de la Fundación Gilberto Alzate Avendaño, así como dar soporte a las demás actividades jurídicas asociadas a la Subdirección Artística y Cultural",Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,66266246,Contratación directa,Servicios profesionales y apoyo a la gestión,300,día(s),No Aplica,OFICINA JURÍDICA,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1023108'},702475609,Presentación de oferta,,,,,,
ICBF REGIONAL BOGOTA,899999239,Distrito Capital de Bogotá,Bogotá,Nacional,Descentralizada,CO1.REQ.1053826,ICBF_REGBOG_GJURIDICO_001,704155167,CO1.BDOS.1016717,CONTRATO PRESTACIÓN DE SERVICIOS APOYO A LA GESTIÓN,"PRESTAR SERVICIOS DE APOYO A LA GESTIÓN EN EL GRUPO JURIDICO DE LA REGIONAL BOGOTA DEL ICBF, EN EL TRÁMITE DE LAS ACCIONES RELACIONADAS CON LOS ASUNTOS DEL GRUPO",Fase de ofertas,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,28232300,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),Bogotá,Grupo de contratación - ICBF REGIONAL BOGOTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022717'},704155167,Fase de ofertas,,,,,,
DIRECCION GENERAL MARITIMA - SUBDIRECCION ADMINISTRATIVA Y FINANCIERA - SUBAFIN,830027904,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.1057905,CD No. 001-SUBAFIN-2020,700602048,CO1.BDOS.1021005,CPS  Prestación Servicios Profesionales Especializados en Derecho para adelantar Trámites Administrativos en las diferentes Etapas de la Contratación Pública en el Área de Contratos de la DIMAR.,Contratar la Prestación de los Servicios Profesionales Especializados en Derecho para adelantar los Trámites Administrativos en las diferentes Etapas de la Contratación Pública en el Área de Contratos de la Dirección General Marítima - DIMAR.,Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,43120000,Contratación directa,Servicios profesionales y apoyo a la gestión,220,día(s),Bogotá,subdireccion administrativa y financiera,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80121704,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022317'},700602048,Presentación de oferta,,,,,,
ICBF REGIONAL BOGOTA,899999239,Distrito Capital de Bogotá,Bogotá,Nacional,Descentralizada,CO1.REQ.1052411,ICBF_REGBOG_GCONT_002,704155167,CO1.BDOS.1015807,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES EN EL GRUPO DE CONTRATACION DE LA REGIONAL BOGOTA DEL ICBF, COMO ABOGADO EN EL TRAMITE DE LAS ACCIONES RELACIONADAS CON LOS ASUNTOS DEL GRUPO",Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,36823000,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),Bogotá,Grupo de contratación - ICBF REGIONAL BOGOTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022806'},704155167,Presentación de oferta,,,,,,
COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.1057985,CCE-015-4H-2020,700037070,CO1.BDOS.1021501,Prestar servicios profesionales a la Subdirección de Información y Desarrollo Tecnológico como responsable de la planeación y gestión de proyectos de los servicios de información para la compra,Prestar servicios profesionales a la Subdirección de Información y Desarrollo Tecnológico como responsable de la planeación y gestión de proyectos de los servicios de información para la compra pública de la ANCP-CCE.,Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,95741935,Contratación directa,Servicios profesionales y apoyo a la gestión,12,Mes(es),Bogotá,Unidad de Contratación Secretaría General,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101604,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022803'},700037070,Presentación de oferta,,,,,,
MINCIENCIAS,899999296,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.1057845,CPS-023-2020,700296015,CO1.BDOS.1021237,ANA MIREYA JIMENEZ URQUIJO,Prestar servicios de apoyo a la gestión de la Dirección Administrativa y Financiera - Proceso Recursos Financieros,Presentación de oferta,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,11838207,Contratación directa,Servicios profesionales y apoyo a la gestión,120,día(s),No Aplica,Secretaria General,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101506,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022721'},700296015,Presentación de oferta,,,,,,
